Domain ID,Our Fast Pagerank Value,Numpy Pagerank Value,Scipy Pagerank Value
127.0,0.0017260288131689672,0.0017260288122063051,0.0017234360386343011
128.0,0.0018721376142168766,0.0018721376134355578,0.001866257101670525
129.0,0.0021543885725925555,0.0021543885701853288,0.0021523008642155756
130.0,0.001943997786013462,0.0019439977856749522,0.0019562993093209923
131.0,0.002191319025273042,0.00219131902510953,0.002196895381066875
132.0,0.0019513167603565553,0.0019513167592722473,0.001952331956352687
133.0,0.0017638411180523862,0.0017638411196514135,0.0017749268026785395
134.0,0.002045195202118114,0.0020451952004988667,0.002053307482061233
135.0,0.0019548637339666915,0.0019548637333274685,0.001963803828026233
136.0,0.0017364077914616442,0.0017364077904604533,0.001743478261466072
137.0,0.0019028607789194736,0.0019028607782507513,0.0019096385504280937
138.0,0.0021081001139534967,0.0021081001154822526,0.002110383540024785
139.0,0.0018624458155241338,0.0018624458171954117,0.0018571239223634343
140.0,0.0022544332420751183,0.0022544332421175544,0.0022534455526068814
141.0,0.0018668462232601212,0.001866846222839342,0.001851680362799344
142.0,0.002006573810121333,0.0020065738098161584,0.002003008078733697
