Domain ID,Our Fast PR Value,NetworkX Numpy PR Value,NetworkX Scipy PR Value,IGraph PR Value
46.0,0.0018387832876420685,0.0018387832871770413,0.0018396933287898138,0.0018387832871782704
47.0,0.0019531669183800665,0.0019531669177799294,0.001959853474468696,0.001953166917780991
48.0,0.0022056792932443206,0.002205679293362167,0.002220112997887562,0.0022056792933632927
49.0,0.0021573211038792895,0.0021573211039731086,0.0021408146534447553,0.002157321103974366
50.0,0.0019078944332210296,0.0019078944319078724,0.0019079874868731116,0.0019078944319090105
51.0,0.002022901371502162,0.0020229013724443047,0.0020356160572052155,0.002022901372445467
52.0,0.00203115228448853,0.0020311522837115578,0.002033313004460156,0.0020311522837126003
53.0,0.001940862487044138,0.0019408624873904817,0.001943250830112919,0.001940862487391593
54.0,0.0021592854770600416,0.00215928547468725,0.0021520582384491117,0.002159285474688383
55.0,0.0017360260230162474,0.0017360260218932388,0.0017312301674526215,0.0017360260218945562
56.0,0.001992577571794653,0.0019925775705220733,0.0019850036177459793,0.0019925775705233006
57.0,0.0019233938240533564,0.0019233938251186804,0.0019231572820903038,0.0019233938251198334
58.0,0.002058830458116732,0.002058830458161035,0.002056650459816629,0.002058830458162267
59.0,0.0020574680101374736,0.0020574680110645033,0.002050485321439258,0.0020574680110655636
60.0,0.0021568106208642566,0.0021568106231677083,0.0021698068932596605,0.0021568106231687474
61.0,0.0019173555920119407,0.001917355593100992,0.0019286497142851295,0.0019173555931021218
62.0,0.0019937543604805156,0.0019937543609645837,0.0020012710904295044,0.0019937543609656852
63.0,0.0020794245249041265,0.0020794245260044365,0.002092052730621435,0.002079424526005395
64.0,0.0020599007891282935,0.0020599007902065967,0.0020726573441550698,0.0020599007902077473
65.0,0.0020625834809107576,0.00206258348059716,0.002055302733458013,0.002062583480598287
66.0,0.0019960426772010044,0.001996042674816517,0.0019901201248356767,0.0019960426748175694
67.0,0.002140365698464636,0.002140365701004614,0.002154088460394153,0.0021403657010055943
68.0,0.0021034881645840236,0.0021034881663523565,0.002112191024568781,0.0021034881663534724
69.0,0.002136843880306785,0.002136843880042853,0.002132324045552459,0.00213684388004391
70.0,0.002005131737583533,0.002005131739830112,0.002007899720567042,0.00200513173983122
71.0,0.0021025194982735073,0.0021025194969968727,0.0020995741937528426,0.002102519496997877
72.0,0.001993874851133632,0.0019938748497168837,0.001996595643631154,0.001993874849717798
73.0,0.0019499340491223986,0.0019499340482434788,0.0019494572434081807,0.0019499340482445563
74.0,0.0017173402810424369,0.0017173402810167443,0.0017186637564240432,0.0017173402810178227
75.0,0.0019838868555539595,0.001983886855027294,0.0019866179004753306,0.001983886855028447
76.0,0.002046199468107543,0.0020461994687541126,0.0020405503961578404,0.002046199468755125
77.0,0.0017425552202569852,0.0017425552220717293,0.0017493704249724176,0.0017425552220728029
78.0,0.002006134843991347,0.002006134843956271,0.002015679205484217,0.002006134843957223
79.0,0.002030523931659204,0.002030523932427313,0.0020235691739882563,0.0020305239324283288
80.0,0.0019910647586043506,0.0019910647574085455,0.0019845992624786995,0.0019910647574095533
81.0,0.0023694003428220353,0.0023694003438676763,0.002357641979498687,0.0023694003438685927
82.0,0.0017575183118646272,0.0017575183113801806,0.0017565085620209892,0.0017575183113812069
83.0,0.0019026155858353155,0.0019026155865378344,0.0019046218456492533,0.0019026155865388469
84.0,0.002050700801255145,0.0020507008019382466,0.0020537772214246097,0.0020507008019391725
85.0,0.0019574500165349873,0.0019574500152255664,0.0019443671410922614,0.0019574500152265083
86.0,0.0020275193914963247,0.0020275193913381435,0.0020291728945198715,0.0020275193913390425
87.0,0.00193275394134128,0.0019327539426142373,0.0019251421178507985,0.0019327539426152365
88.0,0.002098086859856548,0.002098086859793272,0.0021099738772259674,0.002098086859794084
89.0,0.0019279730222253092,0.0019279730224538584,0.0019318256087239097,0.001927973022454772
90.0,0.0022879980973363016,0.002287998098380524,0.002272445168365877,0.002287998098381397
91.0,0.00204019355686749,0.0020401935553102228,0.0020245677906844044,0.002040193555311061
92.0,0.0020291684050028898,0.0020291684054159214,0.00201940905707607,0.0020291684054168815
93.0,0.0019789169725347193,0.001978916973250223,0.001978066773007251,0.001978916973251022
94.0,0.0021272014900532987,0.00212720149381977,0.0021323087550478856,0.002127201493820677
95.0,0.0019644409955566614,0.0019644409948528533,0.0019467844433726455,0.0019644409948537398
96.0,0.00189606012984509,0.00189606013090616,0.001903776950983187,0.0018960601309070968
97.0,0.002013436652645432,0.002013436652669958,0.0020087569800314436,0.002013436652670702
98.0,0.002116029076363195,0.0021160290757014383,0.002131771141858979,0.002116029075702285
99.0,0.0019461745599072147,0.0019461745613120571,0.0019313405840840178,0.0019461745613129555
100.0,0.002032105702853652,0.0020321057026305377,0.002040210908329587,0.002032105702631395
101.0,0.0019674941324331167,0.0019674941344742253,0.001968904221789597,0.0019674941344751487
